unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
201,left,1,219.75,7,4,3.835361031,6,3,734,811,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
205,left,1,197.25,8,4,3.44266195,6,3,855,877,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,right,2,174.75,9,4,3.049962868,6,3,992,891,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
213,right,2,152.25,10,4,2.657263786,6,3,1124,852,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
217,right,2,129.75,11,4,2.264564704,6,3,1231,766,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
221,right,2,107.25,12,4,1.871865623,6,3,1297,645,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
225,right,2,84.75,13,4,1.479166541,6,3,1311,508,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
229,right,2,62.25,14,4,1.086467459,6,3,1272,376,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
233,right,2,39.75,15,4,0.693768378,6,3,1186,269,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
237,right,2,17.25,16,4,0.301069296,6,3,1065,203,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178,left,1,360.75,1,4,6.296275277,12,4,965,187,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182,left,1,338.25,2,4,5.903576195,12,4,829,212,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,left,1,315.75,3,4,5.510877113,12,4,714,287,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190,left,1,293.25,4,4,5.118178031,12,4,636,401,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
194,left,1,270.75,5,4,4.72547895,12,4,607,535,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,left,1,248.25,6,4,4.332779868,12,4,632,671,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202,left,1,225.75,7,4,3.940080786,12,4,707,786,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206,left,1,203.25,8,4,3.547381705,12,4,821,864,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,right,2,180.75,9,4,3.154682623,12,4,955,893,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
214,right,2,158.25,10,4,2.761983541,12,4,1091,868,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218,right,2,135.75,11,4,2.36928446,12,4,1206,793,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222,right,2,113.25,12,4,1.976585378,12,4,1284,679,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,right,2,90.75,13,4,1.583886296,12,4,1313,545,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
230,right,2,68.25,14,4,1.191187214,12,4,1288,409,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
234,right,2,45.75,15,4,0.798488133,12,4,1213,294,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
238,right,2,23.25,16,4,0.405789051,12,4,1099,216,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
743,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-117,-332,-4,-352,-1.241644632,4,-1.02903425,4,341,359,49,NaN,NaN,NaN
744,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-136,-325,-22,-351,-1.278497098,4,-1.063051911,4,337,356,49,NaN,NaN,NaN
745,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-154,-316,-8,-352,-1.315349564,4,-1.037538665,4,334,359,49,NaN,NaN,NaN
746,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-129,-327,-38,-350,-1.264323073,4,-1.091399962,4,339,354,49,NaN,NaN,NaN
747,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-162,-312,-10,-352,-1.332358395,4,-1.04037347,4,333,358,49,NaN,NaN,NaN
748,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-170,-308,-24,-351,-1.349367226,4,-1.065886716,4,331,356,49,NaN,NaN,NaN
749,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-108,-335,-18,-352,-1.224635801,4,-1.054547496,4,342,357,49,NaN,NaN,NaN
750,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-134,-325,-21,-351,-1.275662293,4,-1.060217106,4,338,357,49,NaN,NaN,NaN
751,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-131,-326,-35,-350,-1.269992683,4,-1.085730352,4,338,354,49,NaN,NaN,NaN
752,left,1,348.75,1,4,6.086835766,0,0,891,194,1,1,-143,-322,-5,-352,-1.292671124,4,-1.031869055,4,336,359,49,NaN,NaN,NaN
753,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-12,353,-338,-98,1.043208275,4,-1.856797338,4,182,286,49,NaN,NaN,NaN
754,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-73,346,-130,-327,1.156600479,4,-1.267157878,4,192,338,49,NaN,NaN,NaN
755,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-162,314,-146,-320,1.332358395,4,-1.298340734,4,208,336,49,NaN,NaN,NaN
756,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-177,305,-327,-129,1.363541251,4,-1.797266431,4,210,292,49,NaN,NaN,NaN
757,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-16,-352,-1,-352,-1.051712691,4,-1.02336464,4,357,360,49,NaN,NaN,NaN
758,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-186,300,-151,-318,1.383384887,4,-1.309679954,4,212,335,49,NaN,NaN,NaN
759,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-350,-33,-116,-332,-1.978693957,4,-1.238809827,4,276,341,49,NaN,NaN,NaN
760,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-172,309,-228,269,1.352202031,4,1.47976826,4,209,221,49,NaN,NaN,NaN
761,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-56,349,-352,16,1.125417623,4,2.012711618,4,189,268,49,NaN,NaN,NaN
762,left,1,348.75,1,4,6.086835766,0,0,891,194,1,2,-47,350,-294,-193,1.108408792,4,-1.664030591,4,188,303,49,NaN,NaN,NaN
763,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-334,-111,-266,-230,-1.831284092,4,-1.578986438,4,289,311,51,NaN,NaN,NaN
764,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-341,-88,-272,-222,-1.876640973,4,-1.595995269,4,285,309,51,NaN,NaN,NaN
765,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-339,-95,-274,-220,-1.862466948,4,-1.601664879,4,286,309,51,NaN,NaN,NaN
766,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-325,-136,-251,-246,-1.783092405,4,-1.536464362,4,293,315,51,NaN,NaN,NaN
767,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-319,-148,-210,-282,-1.757579159,4,-1.437246184,4,295,323,51,NaN,NaN,NaN
768,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-322,-141,-218,-276,-1.771753185,4,-1.454255014,4,294,322,51,NaN,NaN,NaN
769,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-340,-89,-248,-250,-1.873806168,4,-1.527959947,4,285,315,51,NaN,NaN,NaN
770,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-337,-101,-253,-244,-1.851127728,4,-1.542133972,4,287,314,51,NaN,NaN,NaN
771,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-331,-120,-221,-273,-1.814275261,4,-1.462759429,4,290,321,51,NaN,NaN,NaN
772,left,1,303.75,3,4,5.301437603,0,0,667,344,1,1,-329,-126,-238,-259,-1.802936041,4,-1.502446701,4,291,318,51,NaN,NaN,NaN
773,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-129,329,-311,-165,1.264323073,4,-1.723561498,4,202,298,51,NaN,NaN,NaN
774,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-252,-245,-124,-329,-1.539299167,4,-1.255818657,4,314,339,51,NaN,NaN,NaN
775,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-221,-273,-176,-305,-1.462759429,4,-1.360706446,4,321,330,51,NaN,NaN,NaN
776,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-322,143,-349,45,1.771753185,4,1.958850321,4,246,263,51,NaN,NaN,NaN
777,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-234,264,-350,-33,1.493942286,4,-1.978693957,4,222,276,51,NaN,NaN,NaN
778,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-236,-260,-165,-311,-1.499611896,4,-1.338028005,4,318,332,51,NaN,NaN,NaN
779,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-162,314,-243,256,1.332358395,4,1.516620726,4,208,224,51,NaN,NaN,NaN
780,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-284,209,-323,141,1.63001293,4,1.77458799,4,234,247,51,NaN,NaN,NaN
781,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-101,339,-327,130,1.210461776,4,1.797266431,4,197,249,51,NaN,NaN,NaN
782,left,1,303.75,3,4,5.301437603,0,0,667,344,1,2,-74,345,-126,330,1.159435284,4,1.258653463,4,192,201,51,NaN,NaN,NaN
783,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-319,150,-350,38,1.757579159,4,1.973024347,4,245,264,53,NaN,NaN,NaN
784,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-302,181,-349,-48,1.692378642,4,-1.950345906,4,239,278,53,NaN,NaN,NaN
785,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-318,153,-352,12,1.751909549,4,2.021216033,4,245,268,53,NaN,NaN,NaN
786,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-332,119,-350,-38,1.819944872,4,-1.970189542,4,251,276,53,NaN,NaN,NaN
787,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-325,136,-351,30,1.78592721,4,1.987198372,4,248,265,53,NaN,NaN,NaN
788,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-310,168,-352,15,1.720726693,4,2.015546423,4,242,268,53,NaN,NaN,NaN
789,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-321,146,-352,-16,1.766083575,4,-2.009876813,4,246,273,53,NaN,NaN,NaN
790,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-331,121,-352,5,1.814275261,4,2.032555254,4,250,269,53,NaN,NaN,NaN
791,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-317,154,-351,21,1.749074744,4,2.004207203,4,244,267,53,NaN,NaN,NaN
792,left,1,258.75,5,4,4.51603944,0,0,614,609,1,1,-338,99,-351,-30,1.856797338,4,-1.984363567,4,254,275,53,NaN,NaN,NaN
793,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-172,309,-259,239,1.352202031,4,1.559142803,4,209,228,53,NaN,NaN,NaN
794,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-350,36,-197,-292,1.975859152,4,-1.406063328,4,264,326,53,NaN,NaN,NaN
795,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-151,-318,-92,-340,-1.309679954,4,-1.193452945,4,335,345,53,NaN,NaN,NaN
796,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-277,-216,-62,-346,-1.610169294,4,-1.136756843,4,308,350,53,NaN,NaN,NaN
797,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-352,-4,-331,-120,-2.032555254,4,-1.814275261,4,271,290,53,NaN,NaN,NaN
798,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-351,33,-348,-50,1.981528762,4,-1.947511101,4,265,278,53,NaN,NaN,NaN
799,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-18,353,-113,335,1.054547496,4,1.233140217,4,183,199,53,NaN,NaN,NaN
800,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-220,276,-227,270,1.459924624,4,1.476933455,4,219,220,53,NaN,NaN,NaN
801,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-351,27,-5,-352,1.992867982,4,-1.031869055,4,266,359,53,NaN,NaN,NaN
802,left,1,258.75,5,4,4.51603944,0,0,614,609,1,2,-1,354,-85,343,1.02336464,4,1.17927892,4,180,194,53,NaN,NaN,NaN
803,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-107,337,-220,276,1.221800996,4,1.459924624,4,198,219,55,NaN,NaN,NaN
804,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-105,337,-268,229,1.218966191,4,1.584656049,4,198,230,55,NaN,NaN,NaN
805,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-91,341,-271,225,1.19061814,4,1.593160464,4,195,231,55,NaN,NaN,NaN
806,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-150,320,-241,258,1.306845149,4,1.510951116,4,205,223,55,NaN,NaN,NaN
807,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-130,328,-275,220,1.267157878,4,1.604499684,4,202,232,55,NaN,NaN,NaN
808,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-143,323,-262,236,1.292671124,4,1.567647218,4,204,228,55,NaN,NaN,NaN
809,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-98,339,-231,267,1.204792166,4,1.48543787,4,196,221,55,NaN,NaN,NaN
810,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-124,331,-242,257,1.255818657,4,1.513785921,4,201,224,55,NaN,NaN,NaN
811,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-159,315,-227,270,1.326688785,4,1.476933455,4,207,220,55,NaN,NaN,NaN
812,left,1,213.75,7,4,3.730641276,0,0,764,833,1,1,-137,325,-240,259,1.281331903,4,1.508116311,4,203,223,55,NaN,NaN,NaN
813,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-337,-102,-187,-298,-1.848292922,4,-1.386219692,4,287,328,55,NaN,NaN,NaN
814,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-352,-7,-185,-299,-2.026885644,4,-1.380550082,4,271,328,55,NaN,NaN,NaN
815,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-54,349,-166,311,1.122582818,4,1.34086281,4,189,208,55,NaN,NaN,NaN
816,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-299,186,-45,-349,1.681039422,4,-1.105573987,4,238,353,55,NaN,NaN,NaN
817,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-254,245,-349,-48,1.544968777,4,-1.950345906,4,226,278,55,NaN,NaN,NaN
818,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-352,-16,-118,-331,-2.009876813,4,-1.244479437,4,273,340,55,NaN,NaN,NaN
819,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-273,223,-347,-57,1.598830074,4,-1.933337075,4,231,280,55,NaN,NaN,NaN
820,left,1,213.75,7,4,3.730641276,0,0,764,833,1,2,-19,353,-127,330,1.057382301,4,1.261488268,4,183,201,55,NaN,NaN,NaN
